model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
tf_efficientnet_b5,0.8782435129740519,0.7944937708689921,0.777839098457389,0.7835864225243812,0.8762519357924307,0.8782435129740519,0.8754419219210449
convnext_base,0.8975382568196939,0.878499227952101,0.796141537249221,0.8302393001567925,0.8978440072364571,0.8975382568196939,0.8969183661996627
densenet169,0.8822355289421158,0.826105409713992,0.7604707544388205,0.7888093854330133,0.8807128110142114,0.8822355289421158,0.8809449559810975
vit_base_patch16_224,0.9035262807717898,0.8574166871938312,0.8330469617348785,0.8444360811578344,0.9041478098975742,0.9035262807717898,0.9036389104782986
swin_small_patch4_window7_224,0.9035262807717898,0.8611609166183413,0.805267830270531,0.8293275040073897,0.9027743377965238,0.9035262807717898,0.902416968336122
ensemble,0.914836992681304,0.8942188611526591,0.8290088941959934,0.8583016682804745,0.9127650864367673,0.914836992681304,0.9130825138526267
